"full_name","qualification","area","phone","email","hourly_rate","is_available","created_at"
"Saima Ahmed","BBA","Hayatabad","0345-4265774","bilal.akhtar3461@yahoo.com","1650","1","2023-08-15 00:00:00"
"Sidra Ansari","PhD Mathematics","Tehkal","0301-3158613","sumera.butt1966@gmail.com","800","1","2024-05-13 00:00:00"
"Tooba Qureshi","MSc Biology","Charsadda Road","0345-7734157","mehwish.rizvi2879@yahoo.com","600","0","2023-10-19 00:00:00"
"Kinza Farooq","BSc Chemistry","Kohat Road","0303-9648751","maham.nasir3771@edu.pk","900","1","2025-02-17 00:00:00"
"Hina Hashmi","MSc Zoology","Chamkani","0312-6643410","asif.rehman694@hotmail.com","2050","1","2024-04-02 00:00:00"
"Anum Khan","MSc Statistics","Warsak Road","0301-7988386","fahad.latif1276@edu.pk","1450","1","2025-03-06 00:00:00"
"Adnan Farooq","MSc Economics","Peshawar Cantt","0311-1861596","hafsa.hashmi6844@edu.pk","2000","0","2025-03-06 00:00:00"
"Sana Gul","BA English Literature","Hayatabad","0301-4200829","asif.khan5322@yahoo.com","550","1","2024-08-02 00:00:00"
"Raza Nasir","MSc Biology","Dalazak Road","0345-8912226","anum.nasir5929@gmail.com","650","1","2024-11-13 00:00:00"
"Waqas Butt","MSc Physics","Pajagi Road","0331-6263895","huma.malik3987@hotmail.com","1050","1","2024-11-27 00:00:00"
"Maham Mirza","MSc Economics","Charsadda Road","0333-4225657","sidra.ali6485@edu.pk","1250","1","2024-04-01 00:00:00"
"Kamran Mehmood","MCom","Chamkani","0311-9204110","maryam.butt2755@gmail.com","1500","1","2024-12-25 00:00:00"
"Sumera Malik","MA English","Peshawar Cantt","0345-7370211","junaid.abbasi3177@edu.pk","1750","1","2023-10-28 00:00:00"
"Aisha Akhtar","MBA","Warsak Road","0333-5302415","mehwish.gul2420@yahoo.com","2000","1","2024-12-03 00:00:00"
"Fariha Javed","MSc Economics","Saddar","0301-5014486","hassan.shah3233@yahoo.com","1250","0","2024-11-25 00:00:00"
"Noman Baig","BSc Physics","University Town","0331-6541407","qasim.mehmood1235@yahoo.com","2000","0","2023-10-19 00:00:00"
"Waqas Latif","PhD Chemistry","Dalazak Road","0333-9010256","bushra.mehmood9237@hotmail.com","1100","1","2024-03-21 00:00:00"
"Sumera Hussain","BSc Physics","Shahi Bagh","0301-4896008","huma.hussain5180@yahoo.com","600","1","2023-11-27 00:00:00"
"Shazia Gul","PhD Chemistry","Shahi Bagh","0300-7660463","zara.farooq7246@edu.pk","2050","0","2024-03-23 00:00:00"
"Muhammad Akhtar","MA English","Charsadda Road","0301-6621073","hafsa.ahmed5767@gmail.com","1400","1","2025-03-18 00:00:00"
"Shazia Qureshi","BSc Chemistry","Kohat Road","0312-4234838","bushra.ansari617@gmail.com","850","1","2024-09-12 00:00:00"
"Rida Chaudhry","MSc Mathematics","Chamkani","0321-5949685","anum.akhtar1258@gmail.com","1100","0","2025-03-16 00:00:00"
"Anum Rizvi","BSc Chemistry","Warsak Road","0301-7724865","bushra.rana9082@gmail.com","800","0","2023-10-22 00:00:00"
"Uzma Latif","BA English Literature","Hayatabad","0312-7435310","fariha.saleem9367@yahoo.com","1250","1","2024-02-29 00:00:00"
"Sumera Rana","MA English","Hayatabad","0312-7032283","zainab.farooq8215@yahoo.com","1250","0","2023-09-30 00:00:00"
"Sumera Chaudhry","BBA","Peshawar Cantt","0345-6217344","fahad.malik5627@gmail.com","850","1","2024-03-29 00:00:00"
"Zainab Baig","BA English Literature","Saddar","0333-3570027","ahmed.baig7173@hotmail.com","1950","1","2025-02-10 00:00:00"
"Aleena Nasir","PhD Mathematics","Shahi Bagh","0333-4664338","imran.mirza4635@hotmail.com","1250","1","2025-01-31 00:00:00"
"Junaid Ansari","BSc Chemistry","Chamkani","0321-2310346","tooba.butt9796@gmail.com","850","0","2024-12-12 00:00:00"
"Shahid Javed","BEd","Saddar","0321-9729882","zara.butt1549@hotmail.com","1900","0","2023-12-28 00:00:00"
